"Source Line","Source","Clockticks","Instructions Retired","CPI Rate","Retiring","Front-End Bound","Bad Speculation","Back-End Bound"
"1","/*","","","","","","",""
"2"," * Code for simulations","","","","","","",""
"3"," */","","","","","","",""
"4","","","","","","","",""
"5","// ReSharper disable CppTooWideScope","","","","","","",""
"6","// ReSharper disable CppTooWideScopeInitStatement","","","","","","",""
"7","#include ""openVCB.hh""","","","","","","",""
"8","","","","","","","",""
"9","namespace openVCB {","","","","","","",""
"10","","","","","","","",""
"11","[[__gnu__::__hot__]]","","","","","","",""
"12","SimulationResult","","","","","","",""
"13","Project::tick(int const numTicks, int64_t const maxEvents)","","","","","","",""
"14","{","","","","","","",""
"15","      SimulationResult res{};","","","","","","",""
"16","","","","","","","",""
"17","      for (; res.numTicksProcessed < numTicks; ++res.numTicksProcessed)","190800000","280800000","0.679487","7.39033e-05","0.000594585","6.28175e-05","0"
"18","      {","","","","","","",""
"19","            if (res.numEventsProcessed > maxEvents)","","","","","","",""
"20","                  return res;","","","","","","",""
"21","","","","","","","",""
"22","            for (auto &[index, bp_logic] : breakpoints) {","54000000","72000000","0.75","7.39033e-06","0","1.24711e-05","0"
"23","                  auto const &state = states[index];","","","","","","",""
"24","                  if (state.logic != bp_logic) {","","","","","","",""
"25","                        bp_logic       = state.logic;","","","","","","",""
"26","                        res.breakpoint = true;","","","","","","",""
"27","                  }","","","","","","",""
"28","            }","","","","","","",""
"29","            if (res.breakpoint)","","","","","","",""
"30","                  return res;","","","","","","",""
"31","","","","","","","",""
"32","            for (auto const &[buffer, bufferSize, idx] : instrumentBuffers) {","79200000","327600000","0.241758","2.95613e-05","0","3.55658e-05","0"
"33","#ifdef OVCB_MT","","","","","","",""
"34","                  memmove(&buffer[tickNum % bufferSize], &states[idx], sizeof(InkState));","","","","","","",""
"35","#else","","","","","","",""
"36","                  buffer[tickNum % bufferSize] = states[idx];","1224000000","356400000","3.43434","0.000251271","0.00178375","0.000503003","0.000431713"
"37","#endif","","","","","","",""
"38","            }","","","","","","",""
"39","            ++tickNum;","0","0","0","0","0.00118917","0","0"
"40","","","","","","","",""
